time_utc,Bx,By,Bz,Babs
2022-03-02T12:29:43.247497542Z,-1.671086,0.8604345,0.5504771,1.958546
2022-03-02T12:29:43.309998417Z,-1.700755,0.8240544,0.5609544,1.971371
2022-03-02T12:29:43.372499292Z,-1.758971,0.8444288,0.527664,2.021255
2022-03-02T12:29:43.435000167Z,-1.68513,0.7348988,0.4472649,1.892033
2022-03-02T12:29:43.497501042Z,-1.572761,0.6411846,0.3818052,1.740824
2022-03-02T12:29:43.560001917Z,-1.446215,0.6262271,0.3949641,1.624714
2022-03-02T12:29:43.622502792Z,-1.349803,0.6187832,0.4382392,1.548197
2022-03-02T12:29:43.685003667Z,-1.274868,0.6738047,0.4765393,1.518681
2022-03-02T12:29:43.747504542Z,-1.209176,0.7839201,0.5552766,1.544334
2022-03-02T12:29:43.810005417Z,-1.186559,0.9093122,0.6529222,1.631281
2022-03-02T12:29:43.872506292Z,-1.215258,1.018683,0.749509,1.753947
2022-03-02T12:29:43.935007167Z,-1.260908,1.139661,0.7455809,1.855965
2022-03-02T12:29:43.997508042Z,-1.308543,1.258837,0.7356622,1.959121
2022-03-02T12:29:44.060008917Z,-1.348636,1.32334,0.7558264,2.035023
2022-03-02T12:29:44.122509792Z,-1.382761,1.356419,0.7208984,2.066784
2022-03-02T12:29:44.185010667Z,-1.441434,1.342535,0.6578339,2.076747
2022-03-02T12:29:44.247511542Z,-1.495534,1.314107,0.6044068,2.080579
2022-03-02T12:29:44.310012417Z,-1.577964,1.219777,0.584358,2.078292
2022-03-02T12:29:44.372513292Z,-1.707109,1.146999,0.5514278,2.129296
2022-03-02T12:29:44.435014167Z,-1.756766,1.139597,0.483894,2.1492
2022-03-02T12:29:44.497515042Z,-1.718166,1.156541,0.4461879,2.118671
2022-03-02T12:29:44.560015917Z,-1.668575,1.075247,0.4300497,2.031069
2022-03-02T12:29:44.622516792Z,-1.62426,0.9067819,0.440712,1.911727
2022-03-02T12:29:44.685017667Z,-1.618643,0.7831551,0.5136728,1.870079
2022-03-02T12:29:44.747518542Z,-1.598671,0.743687,0.5723488,1.853754
2022-03-02T12:29:44.810019417Z,-1.560287,0.7800404,0.612323,1.848755
2022-03-02T12:29:44.872520292Z,-1.470699,0.7917779,0.6800111,1.803408
2022-03-02T12:29:44.935021167Z,-1.47135,0.7997025,0.7343026,1.82855
2022-03-02T12:29:44.997522042Z,-1.558018,0.8295358,0.7660575,1.924161
2022-03-02T12:29:45.060022917Z,-1.64316,0.8181662,0.7954068,2.00051
2022-03-02T12:29:45.122523792Z,-1.64573,0.7172518,0.8118473,1.970272
2022-03-02T12:29:45.185024667Z,-1.591681,0.6420102,0.8178155,1.90117
2022-03-02T12:29:45.247525542Z,-1.614048,0.6180831,0.8944376,1.946072
2022-03-02T12:29:45.310026417Z,-1.762119,0.6145098,1.043652,2.138199
2022-03-02T12:29:45.372527292Z,-1.820443,0.6460156,1.131934,2.238889
